,errors
0,2701110000
1,2701120000
2,2710192210
3,2833210000
4,2834210000
5,301920000
6,2202100000
7,2204100000
8,2204210000
9,2205900000
10,401200000
11,2208202200
12,2208202900
13,2208203000
14,2208300000
15,2208500000
16,2208600000
17,2208701000
18,2208702000
19,2208902000
20,2208904200
21,2208904900
22,3102290000
23,3102600000
24,3104300000
25,3105100000
26,3105510000
27,3105590000
28,3105909000
29,4901910000
30,4902100000
31,4903000000
32,1511900000
33,1517900000
34,8711200000
35,8711300000
36,8711500000
37,2205100000
38,2208909000
39,9801000010
40,8703100000
41,8706001000
42,8707901000
43,3102300010
44,2208709000
45,301919000
46,301950000
47,8523210000
48,8523291000
49,8523293190
50,8523293290
51,8523293390
52,8523299000
53,8523510000
54,8523520000
55,8523599000
56,8523802920
57,8523809000
58,1901902000
59,4901101000
60,4901109000
61,4901991000
62,4901999000
63,4902901000
64,4902909000
65,5201001000
66,5201002000
67,5201003000
68,5201009000
69,2106907900
70,8706002100
71,8706002900
72,8706009100
73,8706009200
74,8706009900
75,2208400000
76,8707100000
77,8707909000
78,8711100000
79,8711400000
80,3102909000
81,8523491000
82,106190000
83,301940010
84,303530010
85,2710122000
86,303340000
87,8703509010
88,303240000
89,303510000
90,8702301000
91,302920000
92,8701210000
93,8701220000
94,8701230000
95,8701240000
96,8701290000
97,8702902010
98,8702902090
99,8704211010
100,8704211090
101,8704219000
102,8704221000
103,8704222000
104,8704229000
105,8704230000
106,8704311010
107,8704311090
108,8704319000
109,8704321000
110,8704322000
111,8704329000
112,8704411000
113,8704419000
114,8704420000
115,8704430000
116,8704511000
117,8704519000
118,8704520000
119,8704601000
120,8703601000
121,8702309000
122,8703900020
123,303810000
124,302190000
125,8702409000
126,302840000
127,302220000
128,8703401000
129,8704609000
130,8704901000
131,8704909000
132,8711600010
133,8711600090
134,8703501000
135,302390000
136,302240000
137,303140000
138,3104202000
139,8703339020
140,303430000
141,8703809010
142,2204299000
143,8703509020
144,303660000
145,302110000
146,303490000
147,302720000
148,301999000
149,2204291000
150,302550000
151,303290000
152,303690000
153,302440000
154,302790000
155,303560000
156,8703701000
157,8702209000
158,303230000
159,303540000
160,302470000
161,8703319020
162,303680000
163,8703709010
164,303990000
165,8703801000
166,302360000
167,302230000
168,8703331000
169,302210000
170,1211903000
171,8703210010
172,8703311000
173,8703409010
174,303890000
175,2204229000
176,8703239010
177,303670000
178,303330000
179,8703329010
180,302450000
181,302340000
182,302490000
183,303250000
184,302990000
185,302310000
186,302430000
187,302420000
188,302560000
189,8703229020
190,8702101000
191,8702909010
192,2206000000
193,8703239020
194,302130000
195,8702109000
196,8703221000
197,303820000
198,302850000
199,302740000
200,8711900000
201,2202910000
202,302590000
203,302820000
204,303830000
205,8703339010
206,303840000
207,302730000
208,303310000
209,302530000
210,302830000
211,303590000
212,8703231000
213,303260000
214,8703329020
215,302350000
216,303320000
217,301930000
218,9809000040
219,302710000
220,303570000
221,8703900010
222,8703249020
223,303410000
224,3102101000
225,302810000
226,301940099
227,8702401000
228,8703609020
229,8703809020
230,303420000
231,303110000
232,303450000
233,302460000
234,2710121900
235,2710200090
236,8703709020
237,8703241000
238,303530090
239,303650000
240,303390000
241,303550000
242,303440000
243,302510000
244,302290000
245,8703321000
246,8703229010
247,302520000
248,303640000
249,8703249010
250,302890000
251,8703319010
252,2204221000
253,302410000
254,8523492000
255,302320000
256,8702909090
257,8703609010
258,302330000
259,8702201000
260,8523802100
261,303460000
262,303190000
263,303130000
264,302140000
265,8703409020
266,302540000
267,303630000
268,303920000
269,1516200000
270,1516300000
271,1901909000
272,2106909000
273,2202990000
274,2403990000
